title,release_date,rating,description,metascore
Big Brain Academy: Wii Degree,2007-06-11,E,"Welcome to Big Brain Academy, the only school where you can school your friends and family! How big is your brain? Find out as you test yourself with numerous lightning-fast activities like across several categories. When you enroll, headmaster Professor Lobe will introduce you to Test mode, challenging you with a bevy of hilarous and exciting brain-teasers. Then, when it's all over, the professor will calculate your brain weight, award you with a grade, and give you an idea of what career track is best suited for your brain weight. Don't worry, it's all in the spirit of fun! Features: The Wii Remote's easy hands-on control makes playing the game a breeze. People of any age or education level can play together. Show off your smarts in multiplayer versus and co-op play modes like Mind Sprint, Mental Marathon, and Brain Quiz. The better you get at an activity, the harder it becomes. Send your grades to friends with the Wii's WiFi connection feature, WiiConnect24. While Big Brain will keeps your neurons dancing in Practice and Test mode, multiplayer and co-op modes bring challenges like only the Wii can deliver. [Nintendo]",68
JumpStart: Escape From Adventure Island,2009-11-17,E,JumpStart Escape from Adventure Island is the second title in the JumpStart series of adventure-based learning games for the Wii.,68
Dr Kawashima's Brain Training for Nintendo Switch,2019-12-27,Rating not found,"Get ready to challenge your brain in a variety of ways in Dr Kawashima’s Brain Training for Nintendo Switch. Enjoy new exercises, some of them making use of the right Joy-Con’s IR Motion Camera*, or tap and train with classic exercises from past Brain Training games that you can play using a stylus (included with the packaged version from retail stores) or your finger. It’s in your hands.",64
Personal Trainer: Math,2009-01-13,E,"The foundation of Dr Kageyama's Maths Training is 100 square calculations a method conceived by Kageyama Hidea, a Japanese elementary school principal. The DS is held side ways like a book and all answers are written using the stylus. The key principal of the software is repetition which according to Kageyama stimulates the brain. The main exercise 100 cells maths, consists of 100 hundred simple maths problems combined into a 10 by 10 grid using the numbers at the top and side of the grid. There are however many other exercises, ranging from simple one digit math problems to slightly more complex three digit challenges.",63
Wild Earth: African Safari,2008-04-22,E,"Explore the wild and capture its natural beauty on film in Wild Earth: African Safari, a unique simulation for the Wii based on the PC game from Super X Studios.  Take award-winning pictures of exotic animals in their natural habitats without disturbing them. From running with herds of zebra to following hunting lions and scavenging vultures, Wild Earth: African Safari lets you risk it all to capture and create magazine-quality pictorials. [Majesco]",60
Flash Focus: Vision Training in Minutes a Day,2007-10-15,E,"(Also known as ""Sight Training: Enjoy Exercising and Relaxing Your Eyes"")  You've trained your brain with Brain Age--now sharpen your eye power with Flash Focus! Fast, fun activities and quick-play sports challenges give your eyes the challenging workout they need. The first time you play Flash Focus, you'll complete a short series of activities to evaluate your Eye Age. Train every day to lower your Eye Age and challenge your Focus Ability in the five major categories: Hand-Eye Coordination, Peripheral Vision, Dynamic Visual Acuity, Momentary Vision, and Eye Movement. Flash Focus is designed to be played a little bit every day. Like the Brain Age games, it features a calendar that tracks the days you have completed your training by giving you stamps. By playing each day, you'll unlock more activities and sports-based tests. Each time you complete an activity, your results are added to line charts so you can easily follow your progress. [Nintendo]",59
Brain Challenge,2008-03-12,E,"[Xbox Live Arcade]  Get your brain in shape with fun daily exercises - these challenging and entertaining puzzles act like a vitamin boost for your brain. Brain Challenge is your personal coach for mental fitness. Twenty different games in five categories (Memory, Visual, Logic, Math, and Focus) train all areas of your brain. Keep track of your progress every day, and easily evaluate your level of brain activity. Brain Challenge is the easy and enjoyable way to keep your brain alert. Challenge friends with four-player offline and online multiplayer modes. Thirty games are broken down into different categories—Memory, Visual, Logic, Math, and Focus. Training room: Play all the mini-games within each category freely. Creative mode: Relax by exploring your brain's creative abilities through five games. Stress mode: Test your abilities under stressful conditions. Personal coach: Choose your favorite coach to accompany you through all your brain development steps and develop a unique relationship with him or her. Brain charts: View your overall performance and progression with detailed stats and graphs. [Microsoft]",54
Brain Assist,2008-02-26,E,"Re-energize your brain with 10 colorful mind-teasing mini-games that stimulate your concentration, memory, analysis, instincts and reflexes. Six nurses with widely varying personalities will guide you through the games and keep track of your best results. A unique new test even allows you and a friend to examine the compatibility of your right brains. Get more friends in on the action with the Nintendo Wi-Fi Connection and race through a variety of fast-paced four-player mini-games to see who the true brainiac is. Multiplayer battles for up to four gamers. The action ramps up quickly for a fun challenge using the Nintendo Wi-Fi Connection. Ability Tracker. A report is generated at the end of each test and high scores and Compatibility Reports can be saved and overridden as players improve. Touch Screen and stylus technology. With the clock running, get the competitive edge with the stylus and Touch Screen technology. Unlockable Icons. As you clear rounds, unlock 14 icons to personalize your game. [Sega]",53
Left Brain Right Brain,2007-12-04,E,"(Known as ""Left or Right Ambidextrous Challenge"" in the UK/EU)  Use the Touch Screen in 15 different mini-games based on speed, accuracy, association, recognition, memory and strategy. Games include: Connect the Dots, Pop the Balloons, Feel the Music, Hit the Monsters, Touch the Green Square, Save the World, Open the Safe, Trace the Shape, Navigate the Maze and many more. Book-style play has you flipping the DS over and around to develop your hand-eye coordination with both left and right hand. Master 4 single player game modes: Hand Exercises, Balance Check, Left Hand vs. Right Hand and Ambidexterity Check. Challenge a friend to 2-player mini-game tests via DS download play. Practice any activity, over 5 difficulty levels, to prepare for ambidexterity tests. Monitor personal progress and assess improvement with development percentages for each hand that appear after play. [Majesco]",50
Brain Boost: Gamma Wave,2006-11-17,E,"(Also known as ""The Professor's Brain Trainer: Logic"")  The game focuses on improving memory, concentration and judgment through progressively difficult brain training games where speed and accuracy count. The brain's gamma waves appear to be involved in higher mental activity, including perception and problem solving. As such, Brain Boost: Gamma Wave includes training games for remembering Circumstances, Faces, Images, Numbers and Colors. [Majesco Games]",40
Brain Boost: Beta Wave,2006-11-17,E,"(Also known as ""The Professor's Brain Trainer: Memory"")  Both games focus on improving memory, concentration and judgment through progressively difficult brain training games where speed and accuracy count.  Brain Boost: Beta Wave focuses on stimulating parts of the right brain that are often associated with active concentration and busy thinking.  Brain Boost: Beta Wave includes Find a Match, Shape Recognition, Addition, Remember Sequence and Moving Dots training games. [Majesco Games]",39
Best of Tests DS,2008-03-04,E,"Logic, observation, memory, speed of perception and analysis: these are the qualities that define the famous Intelligence Quotient Test and these same skills will be challenged in Best of Tests for the Nintendo DS. Not only does the game challenge the skills of the player, it also aims to help the player improve them. By taking advantage of the unique features of the DS to challenge players, Best of Tests DS calculates the player's IQ and adapt itself to offer a personalized challenge that promises to always be fresh and fun. [Conspiracy Entertainment]",32
