title,release_date,rating,description,metascore
Bangai-O,2001-03-21,E,"Join Riki and Mami Makishi as they pilot the most destructive force the universe has ever known -- the giant robot Bangai-O against the forces of a notorious intergalactic crime syndicate. Utilize Bangai-O's devestating firepower to blast your way through 44 levels of non-stop, hardcore arcade action filled with mind-bending puzzles and titanic bosses. Just don't forget to breathe.",87
Test Drive V-Rally,2000-10-25,E,"The Ultimate Open Road Racing Championship. 16 officially licensed rally cars with 10 bonus cars. Over 80 new tracks in over 12 different countries exclusively for the Sega Dreamcast. Powerful track editor and generator - create, save and exchange saved tracks you create! Real-Time Damage feature shows visible damage during game play.",86
Daytona USA,2001-03-12,E,"Feel the thundering sound of finely tuned engines and the scent of burning rubber as you await the 'Rolling Start'! Immerse yourself in the blistering speed and white-knuckle action of Daytona USA 2001, the enhanced version of the most renowned arcade racing classic of all time, featuring exclusive new tracks, secret un-lockable vehicles and if you have the skill, you can upload/download fastest times and ghost data via the internet ranking board.",86
F355 Challenge: Passione Rossa,2000-09-22,E,"F355 Challenge is the best driving game currently available on any console, let alone the Dreamcast, and once you crest the game's steep learning curve, the addictive need to constantly best other players' lap times will provide weeks of replayability.",85
Street Fighter III: Double Impact,2000-06-19,T,"Street Fighter&reg; fans everywhere get a double-dose of double-trouble with Street Fighter III: Double Impact. This explosive street brawl for the Sega Dreamcast&trade; contains TWO arcade hits on one CD -- Street Fighter III: New Generation... and Street Fighter III: Second Impact. Loaded with a new legion of fighters, Street fighter III: Double Impact boasts new enhancements to the series like parrying, Super Art fighting styles and two-punch, two-kick fighting styles to inflict more damage.",84
Sega GT,2000-08-29,E,"Sega GT attempts to capture some of Gran Turismo's formula for the Dreamcast, but it ultimately falls short due to poor control and an unintuitive interface.",84
San Francisco Rush 2049,2000-09-06,E,"San Francisco Rush 2049 - the original arcade racing game with 3 action-packed games in one! Race Mode - Scream through futuristic San Francisco tracks. Stunt Mode - Insane air and gravity-defying tricks. Battle Mode - Lock and load your way through 8 killer battle arenas. Loaded with other great features: 19 all-new tracks, 13 selectable cars, 1 - 4 player modes, all-new online competition, and no load time!",84
Street Fighter III: 3rd Strike - Fight for the Future,2000-10-04,T,"This amazing fighter stars 18 brawlers from the STREET FIGHTER III universe and introduces the new Leap Attack. Plus, a new Grade Judge system evaluates player performance at the end of each match. Huge characters and an innovative Hit-Frame system team up with the return of the Super Arts Fighting Styles. Experience totally seamless animation in the newest chapter of the greatest arcade series ever!",84
Ecco the Dolphin: Defender of the Future,2000-09-10,E,"Plunge into the tropical waters of the Isle of Tranquility. As Ecco, an anergetic young dolphin you will explore mysterious locations that span four alternate timelines. Seek the majestic city of Atlantis, monument to the civilisation built by humans and dolphins. Encounter sea creatures and come face to face with alien forces as you seek to defend the Earth and history itself!",84
The Typing of the Dead,2001-01-23,M,"Your rapid-fire typing skills spell doom for the undead in this utterly odd, totally challenging take-off on House of the Dead 2. When you're battling zombies in a nightmare-come-true, ten trigger fingers are definitely better than two!",83
Looney Tunes: Space Race,2000-11-27,E,"Blast off into space! Join your all-time favorite cartoon characters in a hilarious rocket-powered ride through the galaxy. Loaded with outrageous pranks and comical commentary, it's a winner-takes-all race for the inter-galactic championship!",83
Crazy Taxi 2,2001-05-28,T,"The Crazy Taxi Cab Co. has set up shop in New York City, and the streets of the Big Apple will never be the same. Hop into your ride and scour the city for fares. Race against the clock for a big payoff!",82
Seaman,2000-08-09,T,"Now that you have obtained your own Seaman egg, use the faithful recreation of Dr. Gasse's laboratory to follow in his footsteps, uncovering the secrets of the Seaman. When the Seaman egg hatches, the adventure begins...",82
Railroad Tycoon II: Gold Edition,2000-06-30,Rating not found,"Railroad Tycoon II, based on the award-winning original for PC, steamrolls onto Sega Dreamcast with a boxcar load of new enhancements. Control 40 plus cargo types using over 60 different train engines from around the world and establish transportation empires while outmaneuvering fellow robber barons. Play the Stock Market, manage your resources and watch as your empire grows throughout history.",81
Ooga Booga,2001-09-13,E,"Wage all-out war in a wacky Polynesian game world. Strap on your grass skirt because you're the Big Kahuna, battling for the heart of the volcano goddess, Ooga Booga!",81
Project Justice,2001-05-16,T,"A group of long time friends now unite in the pursuit of honor and excellence. Setting all past rivalries aside, they band together to uncover the mystery behind an unusual series of events. Join over 20 playable characters, each with their own unique skills and custom attacks, as they compete in 3-on-3 battles in beautifully rendered 3-D worlds. Assemble your team and perform incredible fighting combos all for one united goal...Project Justice!",80
Bomberman Online,2001-10-30,E,"Blast your way through the levels by destroying your opponents with strategically placed bombs. You need to use your bombs effectively, but you also better know when to run! Brand new stages and frantic new modes create an endless chain reaction of fun!",80
Capcom vs. SNK,2000-11-09,T,"Two monster corporations at war. One solution. A massive martical arts event is organized to settle the score and eliminate all conflict between the two parties. Join over 25 brawlers from Capcom's legendary Street Fighters and SNK's world-renowned The King of Fighters series as they fight for universal domination.

Capcom vs. SNK...
the ultimate collision of strength and power.",80
Fur Fighters,2000-07-13,T,"The fluff has hit the fan! Introducing the Fur Fighters, an elite strike squad of cuddly commandos on a quest to liberate their families from the evil General Viggo and save the free world!",80
Spider-Man (2000),2001-04-19,E,"He spins a web, swings across the sky and lands with a somersault onto the Daily Bugle building. Who is this masked hero? It's you! Fight, jump and web-sling as Spider-Man as you take on a legion of sinister villains. The city is depending on you. Start swinging...",80
NHL 2K2,2002-02-14,E,NHL 2K2 is a great game of hockey that any hockey fan who owns a Dreamcast should really consider picking up.,80
Vanishing Point,2001-01-03,E,Vanishing Point is one of the most original and enjoyable racing games to come around in a long time.,80
Phantasy Star Online Ver. 2,2001-09-24,T,"The realm of Phantasy Star Online has increased. Phantasy Star Online Ver. 2 includes all of the original content, and expands the world with more levels, more features, and more evil to combat. Master the Ultimate Difficulty setting, survive the Challenge Dungeon, and reign as the champion of Battle Mode. The evolution of the original revolutionary gaming experience continues.",80
Tokyo Xtreme Racer 2,2000-09-26,E,"Screaming around a blind turn, you cut your opponent off, driving him head-on into the divider. Toast. This is the world of Tokyo Xtreme Racer 2, a blistering battle to rule the streets of Tokyo. With an endless supply of bloodthirsty rivals, it's a high-adrenaline fight to become Emperor of the Streets. Customize your car with hundreds of parts and features. Cruise over 100 miles of highly-detailed of Tokyo highway. Personalize your team logo and share or trade it. Hundreds of new opponents and teams push your skills to the max.",79
Bust-A-Move 4,2000-05-31,E,It's an ideal diversion for the puzzle-game fan looking for a little or a lot more action than most other puzzle games provide.,79
Sega Marine Fishing,2000-10-17,E,"Sega Marine Fishing, the sequel to the smash arcade hit and Dreamcast all-star Sega Bass Fishing, features all of the thrills and action of deep-sea fishing complete with blue marlin, sailfish, tarpon, tuna, and the dangerous mako shark!",79
Worms World Party,2001-06-03,E,"You are invited to the ultimate gaming experience. And if you can't make it, we'll bring the party to you! Those loveable worms are back again, annihilating each other with zany weapons on wacky landscapes. Worms World Party is the pinnable of evolution for strategy gaming enthusiasts. With &quot;Worms&quot; already having a reputation for being a party animal, there is just no reason not to come.",79
Resident Evil 3: Nemesis,2000-11-17,M,"A month and a half have passed since the mansion lab incident and now the secrets come back to haunt you in Resident Evil 3: Nemesis.  Join Jill Valentine in her attempt to escape a nightmarish city in ruins.  Around every corner lurk hordes of flesh-eating zombies, hideous mutants, and a relentless new nemesis.  You'll soon rely on cunning and brute force to stay alive.  The Resident Evil series has taken a horrifying turn, unveiling new layers in the Umbrella Corporation's devious activities.",79
StarLancer,2000-11-27,T,"Starlancer combines the action of first-person space combat with the drama and intrigue of a classic air combat movie. Countries from around the world including the United States, China, Russia and Great Britain have formed strategic alliances and now battle for control of Earth, Mars and other planets across the solar system. As part of a newly formed, ragtag aviation unit, the 45th Volunteers Squadron, players must prove themselves and earn the respect of their peers. [Microsoft]",79
NFL Blitz 2001,2000-09-14,E,NFL Blitz 2001 for Dreamcast is a worthy update and a giant step above the PlayStation and Nintendo 64 versions of the same name.,78
NCAA College Football 2K2: Road to the Rose Bowl,2001-08-29,E,The game capably competes against any other college football product on the market.,78
Mars Matrix,2001-04-30,E,"Half a century has passed since the colonization of Mars. Life on the red planet is productive and peaceful. Earth has placed the Mars Development Agency (MDA) is control of Mars' self-governing sectors, yet retains a tight grip on its colony. Without warning, an ominous transmission is received on Earth declaring Martian independence and all contact with Mars is lost. Now, the threat of war with mars has Earth seeing red. Massive fleets of experimental, yet very powerful new fighters are on their way to Mars on a mission that could escalate into inter-planetary war.",78
The Last Blade 2,2001-08-06,T,"The Last Blade 2, originally released in 1998, is the sequel to the fighting game, The Last Blade, which was released a year before. It picks up where the previous title left off and takes the story of battling at the gates of hell to its climax. This time around, there are 16 unique swordsmen from which to choose. Choose from 2 sword types (Strength and Attack). Deflect your enemy's attacks with &quot;Repel&quot;. You can also cancel game-changing special moves like &quot;Super Secret Slice&quot; or &quot;Hidden Secret Slice&quot; with a &quot;Sublime Slash&quot;, which connects to Super Secret Slice - just like in the previous title. And there are even some new features like aerial repels, aerial guards and knockdown recovery. Take your battles to a whole 'nother level!",77
Resident Evil 2 (1998),2000-12-06,M,"Ready or not, the terror of Resident Evil 2 is here.  In chapter one, the case of the disastrous T-virus outbreak--a mutagenic toxin designed for biological weapons--was eventually closed but the experiments were far from over.  Control the destiny of Leon Kennedy or Claire Redfield as their nightmare begins when a biotech terror runs rampant in Raccoon City.  Relentless zombies and hideous monsters are all out for a taste of your blood.  If the suspense doesn't kill you, something else will.",77
Demolition Racer,2000-10-23,E,The frequent collisions throughout the game are sometimes nothing short of spectacular.,77
Star Wars Episode I: Jedi Power Battles,2000-10-04,T,"Take back the Theed palace in fast and furious lightsaber assaults. You will have the power of the Force and your trusty Jedi saber as you ward off legions of battle droids, destroyer doids, assassins and other creatures from the Star Wars: Episode I worlds.",76
Sega Bass Fishing 2,2001-08-21,E,"Sega Bass Fishing 2 totally redefines the virtual fishing experience with realistic lakes and life-like ecologies. Watch out-the fish are even smarter this time around! Even with over 100 lures and the freedom to cast anywhere, you'll need every ounce of skill that you have if you want to fill your boat.",76
Sega Smash Pack Volume 1,2001-01-31,T,"Every single one of the ports is incredibly poor, resulting in nothing but disappointment for anyone looking to replay any of these classic games.",76
Alien Front Online,2001-08-09,T,"The Triclops have invaded the Earth with a simple plan: the eradication of all human life! Become a tank commander and obliterate the alien invaders, or join the elite Triclops Guard and crush any human scum that stand in the way. Regardless of which side you choose, you'll possess enough weaponry to completely destroy your enemies. One team will decide the fate of the globe!",76
Speed Devils Online Racing,2000-12-13,E,"Attention sinners. The most infernal arcade racer ever is now online. All the hellish tracks, tricked out cars, and shady side bets from the original Speed Devils return.

Blistering New Features: New Cars - 22 (11 new) machines, All original courses online plus new bonus course, Single player offline, up to 5-Player online, 22 new ways to gamble your cars and cash. 

Intense Online Mayhem. Customize your online persona with quotes and characters. Win your opponents' cars online. Make and take your own insane bets with players nationwide.",76
Record of Lodoss War,2001-02-26,M,"Experience the world of Record of Lodoss War up close and personal in an epic 3D Action/RPG only for Sega Dreamcast. Take control of a mysterious warrior from the past, resurrected to save the future, on a colossal quest filled with pulse-pounding action and high adventure. Join forces with popular characters from the Lodoss universe and combat hundreds of vicious enemies with dozens of spectacular spells.",76
Alone in the Dark: The New Nightmare,2001-09-24,M,The budget price of this game is sure to please just about any gamer willing to take the plunge into this well-saturated genre.,75
Tom Clancy's Rainbow Six: Rogue Spear,2000-11-20,T,"Lead the Rainbow team of elite multi-national special operatives against two deadly terrorist organizations. Life or death missions will take you to real world settings across the globe, including a Jumbo Jet airplane and a famous art museum.",75
Mat Hoffman's Pro BMX,2001-09-11,E,Mat Hoffman is easily the best BMX game on the Dreamcast.,75
Dino Crisis,2000-11-14,M,"Though it has some startling moments and a few fun sections, it's mostly just a mediocre version of a mediocre game.",74
4x4 Evolution,2000-10-30,E,"A dynamic sim racer featuring rugged, customizable 4X4 vehicles. It's the first third-party game with online capabilities that will support connections between Sega Dreamcast, Mac, or PC versions, allowing players to compete head-to-head with one another regardless of platform.  [Gathering of Developers]",74
AeroWings 2: Air Strike,2000-08-27,E,"As an elite fighter pilot, you're in command of the swiftest and deadliest military jets available. Build and hone your skills to razor sharpness. Then unleash them upon an unsuspecting foe in this ultimate test of fully.",74
Red Dog: Superior Firepower,2000-10-31,T,"As commander of the Red Dog assault vehicle, your job is to rid our people of the now aggressive Haak forces occupying the continents of earth. You'll utilize Red Dog's advanced weaponry and armor as you engage in a variety of search and destroy, escort, and defense missions.",73
Cannon Spike,2000-11-14,T,"Far into the future, a rogue group of terrorist robots wreak havoc on the world and it's citizens. The Anti Robot Squad Special Forces has been created to overthrow these radical robots. With an arsenal of weapons and high-powered Motor Boots, you must lead a courageous legion of seven members through multiple levels of robotic terror, huge bosses and other evils. Prepare yourself for the ultimate in speed, strategy and firepower.",73
Dave Mirra Freestyle BMX,2000-11-21,E,"Dial in to progressive freestyle BMX with 10-Time WorlD ChamPion Dave Mirra!
*Ride as 10 top pros: Mirra, Nyquist, Ramsdell, Laird, McMurray, Harkin, Garcia, Butler, Kagy and Tim Mirra.
*Innovative trick modifier lets you create your own riding style with more than 1,300 tricks!
*Spin, grind ans stall your way through 12 free-roaming vert, dirt and street levels.
*10 different multi-player games including Sickest Trick and Gnarliest Crash.
*Killer soundtrack: Sublime, Cypress Hill, Rancid, Social Distortion, Deftones, Pennywise, Dropkick Murphys, 59 Times the Pain, Primer 55 and Swingin' Utters.",73
Outtrigger,2001-07-24,T,In response to a series of terrorist attacks a private enterprise has created 'Interforce'. Recruits have been handpicked from the world's military forces to begin a training program designed to transform them into the ultimate counter-terrorism weapon. Have you got what it takes to become a member?,73
Ms. Pac-Man Maze Madness,2000-11-13,E,Chomp your way through mystical worlds to rescue Professor Pac. Free the lost worlds of Pac-Land from the horrid witch Mesmeralda. Videogame's most famous and favorite heroine is back to save the day!,73
Hidden & Dangerous,2000-07-09,M,"The player can control any of 4 commando members from several different 3D views and, at the same time, program tasks for the rest of the team on a tactical map. Carefully edge your way through enemy territory, hoping you aren't detected by enemy German soldiers en route. In order to survive, you need to inch your way forward, keeping out of sight, using binoculars or a sniper scope to make sure the coast is clear. [Take 2 Interactive]",72
Disney's Donald Duck: Goin' Quackers,2000-12-13,E,"Donald Duck is on a quest. He has to save the kidnapped Daisy from the clutchesof Merlock, the evil Magician. And, if this wasn't bad enough, he has to hurry, Donald must reach Daisy before his cousin Gladstone Gander! Master Donald Duck's quacky emotions and explosive temper in his hyperactive humerous adventures.",71
Giga Wing 2,2001-05-16,E,"The heavens explode into inter-galactic chaos in this classic arcade shooter for the Sega Dreamcast. The rebellion's savage forces have returned in an all-out campaign for universal domination. Only you can defeat them! Pick your aircraft and prepare for hi-tech dogfights, relentless enemy fire, fantastic power-ups and devastating weapons like the Reflect Laser and Reflect Force. Use the Score Multiplier to rack up astronomical high scores. Team up with three of your friends for an all-out, 4-player simultaneous space battle to deliver the universe from the dark forces.",70
Soldier of Fortune,2001-07-24,M,The single-player mode is a long series of often-amazingly intense firefights.,70
Confidential Mission,2001-05-14,T,"A group of international terrorists led by Agares have seized control of a deadly laser armed satellite and holds the world, to ransom. As CMF agent Howard Gibson or Jean Clifford your mission is to recover the control device on an assignment that seems an impossible Confidential Mission. 

Including Agent Academy, Partner and Another World modes have you got what it takes to save the world from the evil Agares.",70
Ready 2 Rumble Boxing: Round 2,2000-10-23,T,"Ready 2 Rumble: Round 2 has more boxers and moves than the first game, but aside from a few slight changes here and there, the game remains largely unchanged.",70
Deep Fighter,2000-08-22,T,Ubi Soft's Deep Fighter is an expansive underwater first-person shooter that incorporates a bit of puzzle solving.,69
D2,2000-08-22,M,"This terror-shrouded adventure takes you to a remote northern region of the Canadian mountains. Left stranded in a vast snowy landscape after a meteor strikes her airplane, Laura finds herself in a cabin with a mysterious woman named Kimberly. Outside, horrifying creatures of alien origin roam the area as the two are left to fend for themselves.",69
World Series Baseball 2K2,2001-08-31,E,"Despite its frustratingly flawed gameplay, World Series Baseball 2K2 is the Dreamcast's best baseball game.",69
Pepsi Max Extreme Sports,2000-11-27,E,"Blazing Xtreme Sports action!

-Test your skills in 6 hot extreme sports including bungee jumping and skysurfing.
-Battle to victory in intense triple-event racing!
-Explore 5 exotic real-world locations including Mt. Kilimanjaro, Maui, and the Himalayas.
-12 demanding multi-environment tracks to choose from.
-Relive the action with Instant Replay!",69
POD: Speedzone,2000-12-05,E,"Slip onto SegaNet and blast into POD SpeedZone, the fastest arcade racer for your Sega Dreamcast online. Pilot 8 futuristic cars across 6 surreal, mercilessly interactive tracks. Hone your maneuvers and master the weapons offline - then prove your racing chops in the POD online circuit. Get fast - before the SpeedZone leaves you in the dust.",69
Charge 'N Blast,2001-02-07,T,"Charge 'N Blast doesn't have any glaring flaws, but it also doesn't excel in any general category.",68
Chicken Run,2000-11-13,E,"Behind the barbed wire fence of Tweedy Farm, Ginger is a chicken with a mission. Fearing for the lives of her friends, she is determined to escape to freedom before it is too late. To do this she enlists the help of Rocky, the smooth talking, flying Rooster...or is he?

Guide a rescue attempt to get all of the chickens to safety before they end up as pies. To do this you will have to sneak around the farm collecting objects necessary for the escape. Be careful not to disturb the dogs and avoid being caught by Mr. and Mrs. Tweedy at all costs in this humorous, 3D action game.",68
Iron Aces,2001-02-06,E,"It's a dark night. The cool, calming ocean air floats across your body, rejuvenating your animal spirit, flowing through your nerves like iced lightning. You breathe deeply, and climb into the cockpit of your P-51 Mustang. As you strap down your helmet and goggles you utter a silent prayer; you know that this time you launch off the carrier could be your last. So gear up, soldier. You're one of the best now...one of the Iron Aces.",67
Star Wars: Demolition,2000-11-19,T,"Star Wars Demolition might seem like some half-baked attempt to cash in on the Star Wars license, though it's actually a competently executed game.",67
18 Wheeler: American Pro Trucker,2001-05-22,E,"Get behind the wheel of a 60-foot-long, 20-ton, 18-wheeled truck and buckle up as you drive in locations from New York to California. 18 Wheeler: American Pro Trucker features arcade-style racing in four gameplay modes: arcade, parking, score attack, and versus. You'll transport cargo and race against other truck drivers--all while protecting your rig from damage. In versus mode, you can take on a friend in split-screen action on four different raceways.",67
WWF Royal Rumble,2000-08-01,T,"Immerse yourself in the chaos of a &quot;Royal Rumble&quot; match with up to 9 Superstars in the ring at one time. Better watch your back, because in this type of match there are no allegiances or friendships.",66
NBA Hoopz,2001-02-13,E,NBA Hoopz for the Dreamcast is the same old song and dance that Midway has been perpetuating for years now.,65
Super Runabout: San Francisco Edition,2000-10-24,T,"Many games try to test your skill, but Super Runabout works to exercise your sense of frustration.",65
Walt Disney World Quest: Magical Racing Tour,2000-07-19,E,"Catch The Magic!

Experience the thrill of WALT DISNEY WORLD Quest - Magical Racing Tour and find all the missing pieces of the Fireworks Machine. Speed around 13 raceways based on popular WALT DISNEY WORLD Theme Parks and Water Parks, including: Space Mountain, Test Track at Epcot and Rock 'n' Roller Coaster.",65
Sports Jam,2001-07-18,E,"Foot ball, Baseball, Basketball, Hockey, Tennis, Soccer, Golf, and Cycling! You must master skills from each of these sports to take on competitors in your quest to earn the title of King of Sports! Each game features full 3D characters and background graphics detailing your accomplishments or defeats. Play well and you'll learn what it feels like to be a champion in the greatest sports the world has to offer!",64
Gunbird 2,2000-11-17,T,"Straight from the hit arcade game, Gunbird 2  is the most intense test of coordination and skill. This action shooters features 7 characters on a quest for the magical ingredients to produce the All-Purpose Medicine. On a journey to see the wise medicine master, you are intercepted by a rowdy band of pirates. Now, maneuver through insane levels of enemy fire to pick up power-ups and other weapons and be the first to recover your stolen bounty and unlock the secret of the medicine master.",64
Floigan Bros. Episode 1,2001-07-30,E,"Large and lovable Moigle has a Secret Project that will keep the greedy Baron Malodorous and his gang of Mercenary Cats from taking over the Floigan Junkyard. Unfortunately, Moigle has lost the parts he needs to complete his project so he must enlist the help of his quick-witted older brother, Hoigle. Together, the Floigan Brothers play games and solve puzzles, all while defending their family turf!",64
Silent Scope,2000-10-23,M,"The smash arcade hit comes to the iPhone/iPod Touch!

The President and first family have been abducted by terrorists.  You are the world&rsquo;s top sniper and must defeat the terrorists and save the President and first family at all cost!  

Battle foes through multiple environments with intense 3D graphics.

This all new version for the iPhone/iPod Touch faithfully reproduces the action and excitement from the classic arcade version!

There are nine stages and 2 gameplay modes: Arcade Mode and Training Mode.

Arcade Mode features three stages of gameplay: Story, Shooting Range and Time Attack.

Training Mode has three special stages for honing your marksmanship.

?Options:
You can change the game settings, such as Difficulty, Player Life and Branch Select.

Game controls:
- Tap and slide to move the gun sight
- Tap to shoot
- Double tap to turn the Scope Mode on and off.
- You can obtain additional lives by finding the hidden girl named &ldquo;Life Up Girl&rdquo; throughout the game.",63
KAO the Kangaroo (2000),2001-02-13,E,"After being kidneapped from his beautiful home, Kao must find his way back to Australia. Armed with comedy-sized boxing gloves, Kao hops, skips, and triple jumps his way across magnificently colored landscapes. Legs the size of a professional bodybuilders aren't the only means of locomotion for this furry bundle of fury. Use hang gliders, motorboats, snowboards, and even a space scooter.",63
Spawn: In the Demon's Hand,2000-10-01,M,"The legendary hellbound comic anti-hero comes to life. Straight from the blockbuster arcade game, this home version kicks it up a notch with ever more features and modes of play. Up to 4 players can battle in the &quot;death match-style&quot; Battle Royal Mode or choose a computer controlled teammate to take on Team Battle Mode. All your favorite characters from the Spawn series are faithfully recreated in the ultimate death match challenge.",62
SnoCross Championship Racing,2000-11-30,E,"Sno-Cross Championship Racing was a valiant effort on the PlayStation, on the Dreamcast it falls far short of standards and expectations.",62
