title,release_date,rating,description,metascore
Final Fantasy Chronicles,2001-06-29,T,"When these games came out, they defined what adventures should be. Since then, they have become the most popular and sought-after titles in history. Now you can experience the re-release of two complete, classic games, enhanced with all-new cinemas and features never before seen in the U.S. Final Fantasy IV was previously released as Final Fantasy II, but has been completely restored with new magic, monsters, items, CG cinemas, and added features. Chrono Trigger is a re-release of the original game. This time-traveling prequel to Chrono Cross is enhanced with all-new animated scenes.",89
Tekken 2,1996-08-25,T,More than a sequel. The undisputed #1 fighting game on the planet.,89
Resident Evil 2 (1998),1998-01-21,M,"Ready or not, the terror of Resident Evil 2 is here.  In chapter one, the case of the disastrous T-virus outbreak--a mutagenic toxin designed for biological weapons--was eventually closed but the experiments were far from over.  Control the destiny of Leon Kennedy or Claire Redfield as their nightmare begins when a biotech terror runs rampant in Raccoon City.  Relentless zombies and hideous monsters are all out for a taste of your blood.  If the suspense doesn't kill you, something else will.",89
Einhander,1998-05-05,E,"Pilot the most technologically advanced shooter ever created. You're a suicide pilot up against Earth's final assault. Cut through hordes of enemy fighters and battle the most monstrous bosses ever designed. Pilot fully loaded tactical fighters. Modify speed and agility on the fly. Single, double, and triple gunpod designs. Extendible claw for stealing enemy weapons. Armed for gatling guns, homing missiles, cannons, and more. Two bonus fighters earned through meritorious battle.",89
Grandia,1999-09-30,E,"Join Justin and friends on an epic journey through a captivating story line, providing over 80 hours of intensive gameplay. With vast polygonal worlds to explore and extensive character interaction, Grandia features innovative gameplay with a unique magic combination and character development system and a choice of two battle modes; classic turn-based or automatic.",89
Soul Edge,1997-01-31,T,"What's next in fighting? How about a game that melds 3D movement, polygon characters, razor sharp graphics, awe-inspiring moves and a one-of-a-kind combat system? Or, in short, Soul Blade - arguably the most innovative fighting game on the planet. It's the 15th century and ten warriors from around the world, each wielding their weapon of choice, are in bloody pursuit of Soul Edge - the ultimate weapon. Sure, only one will find it. But it looks like the critics already have found it. Game Players magazine voted Soul Blade &quot;Best Game of Show&quot; at AMMO, and NEXT Generation calls Soul Blade &quot;the most complete fighting game to date.&quot; Obviously, a cut above.",89
R4: Ridge Racer Type 4,1999-05-01,E,"&quot;R4 has to be the best-looking PlayStation racer ever (yes, edging out even Gran Turismo)&quot; - Official PlayStation Magazine, December 1998",88
NHL 2001,2000-09-26,E,"While it's not the most beautiful hockey video game, NHL 2001 comes through where it counts - the gameplay.",88
CTR: Crash Team Racing,1999-10-19,E,"It's a multiplayer kart racing game starring your favourite bandicoot, Crash and a host of his friends... and foes! The stakes are high and the competition is fierce.

Ready... Set... Go!!!!!",88
Madden NFL 2002,2001-08-13,E,"While Madden 2002 isn't reinventing football on the PlayStation, it is really the best you're going to get on the system.",88
Need for Speed III: Hot Pursuit,1998-03-25,E,"Need for Speed returns with all the exotic supercars, tracks, and race modes you've come to expect--but reengineered for higher performance, stunning realism, and fierce competition.  With Hot Pursuit mode, you can race on both sides of the law: as a cop using radar, dispatchers, and roadblocks to track down speeders; or as a racer, trying to outrun the law.  Real-world environments feature details such as blowing leaves, rain, lightning, mud splashes, and smoke from burning rubber and they will put your driving skills to the ultimate test.",88
Oddworld: Abe's Exoddus,1998-10-31,T,"Abe's peaceful retirement was shattered when visited by a vision from the Mudokon Spirit Guides. Abe&trade; learned the Magog Cartel was mining Necrum, the sacred Mudokon city of the dead, to collect bones to make super-addictive SoulStorm Brew.
After freeing the Mudokon spirits imprisoned in the Mudanchee and Mudomo Vaults, Abe gained scary powers from the Spirit Guides, including the ability to heal his Mudokon friends of Soul-Storm addiction, and the power to turn invisible. Infiltrating the transportation hub of FeeCo Depot, and using explosive farts to survive adventures at the Slig Barracks and Bonewerks, Abe broke into SoulStorm Brewery.
There Abe learned the truth behind the secret ingredient of SoulStorm Brew . . . just before blasting the place to atoms with the combined power of the sobered-up Mudokon he'd rescued. Then Abe joined his brew-addled pals at Alf's Rehab &amp; Tea to take the cure - the journey of a lifetime starts with one step. Or is it twelve?",88
Tony Hawk's Pro Skater 3,2001-10-30,E,"You may not be able to live like the legend, but now you can skate like him.  Skate as the legendary Tony Hawk or choose from a dream team of 12 top pro skaters, including old favorites like Lasek, Thomas, Muska, and Steamer, as well as new talent like Gilfberg, Caballero, Koston, and Mullen.  Or enjoy full customization abilities with the enhanced Create-a-Skater (now including female skaters) and the Skatepark Editor.  Travel from L.A. to Tokyo, Suburbia to Skater's Island performing challenges and meeting goals.  New moves include the Revert, which allows you to link vert tricks, and flatland tricks such as Caspers, the Primo, and Handstand Manual.  If you're good, you can even unlock hidden pro footage.",87
Driver,1999-06-30,T,"&#34;Gameloft has completely spruced up all the original graphics making for a much more colorful and visually impressive game than the original.&#34; (TouchArcade)
&#34;Though Gameloft kept the seventies groove of the original Driver, the upgraded visuals are immediately noticeable. It&#39;s not just that car models and building architecture are cleaner. Gameloft gave Driver a fresh paint job&#34; (IGN)

--------------------------------------------------

Discover the most stunning racing game ever created for the iPhone. Driver, the game that introduced a new genre of driving games, is back with its amazing physics and fully revamped graphics.
You are Tanner, an undercover cop posing as a getaway driver with the goal of exposing a national crime ring. The investigation will take you to Miami, Los Angeles, San Francisco, and New York.  

- A breathtaking story mode with 40 missions spanning 4 giant cities, and additional modes to keep the interest up (Training, Free Play mode, Driving games)

- Unprecedented driving physics: unbelievable stunts with flinging turns, stomach-dropping jumps and impressive crashes. Your car takes damage and can potentially explode!

- The most realistic urban environments on iPhone, with revamped visuals, detailed textures and beautiful lighting effects. Each city has working traffic lights, wandering pedestrians, moving traffic and vigilant cops on patrol.

- A great soundtrack, with 3 radio stations broadcasting tracks inspired by 70s music

With Driver, you are the wheelman.

--------------------------------------------------

Other Gameloft games you may like: Gangstar: West Coast Hustle, Asphalt 5, Skater Nation, Tom Clancy&#39;s H.A.W.X, James Cameron&rsquo;s Avatar and N.O.V.A. &ndash; Near Orbit Vanguard Alliance.",87
Spider-Man (2000),2000-08-30,E,"YOU DON'T JUST PLAY IT... YOU LIVE IT 

He spins a web, swings across the sky and lands with a somersault onto the Daily Bugle building. Who is this masked hero? It's you! Fight, jump and web-sling as Spider-Man as you take on a legion of sinister villains.

The city is depending on you. Start swinging...",87
Tenchu: Stealth Assassins,1998-08-31,M,"Prowl and strike with lethal precision as ninja assassins Rikimaru or Ayame in the shadowy world of feudal Japan. Armed with mystical weapons and sheer cunning, you must shed blood with discretion and move without detection. For only the unseen survive. Master dozens of motion-captured ninja moves as you disembowel fearsome samurai, wild beasts, and evil demons. Wield 20 stunning death-dealing devices, including throwing stars, grappling hooks, caltrops and more. Stalk the towns, temples, forests, caves and dungeons of 16th century Japan in 10 deadly missions.",87
NBA Live 2001,2000-10-16,E,NBA Live 2001 follows the fine tradition established by previous versions while adding just about every conceivable gameplay option.,86
Silent Hill,1999-02-24,M,"A young man searching for his daughter - struggling to exist in a place between reality and hell -  a town hiding gruesome, dark secrets. Follow a trail of blood and mutilation to snatch a loved one from the clutches of a demonic power. Enter an alternative dimension where death is no escape. Welcome to the madness that is Silent Hill...",86
Alundra,1998-01-08,T,"Plagued by strange visions, the Dreamwalker Alundra is summoned to a troubled village where great evil lies in wait. Explore huge dungeons, find deadly weapons, solve challenging puzzles and fight the cast of foul creatures out to stop you in your tracks. This vast, enthralling adventure will keep you wide awake to the very end.",86
Lunar 2: Eternal Blue,2000-12-15,T,"The enchanting world of LUNAR comes to life once more in the enhanced PlayStation game console version of the classic RPG sequel. Join freewheeling Hiro and the adorable Ruby, a thousand years after the events of LUNAR: Silver Star Story, as they work to unlock the secrets of the Blue Spire... and the strange young girl they found within it! But be careful - dark forces are trying to revive the evil Zophar, and immerse LUNAR in darkness forever. Journey to distant lands in the search of the Goddess Althena, who may be the only one powerful enough to stop Zophar. Along to way, you'll meet exciting new caracters, fight vividly animated monsters, traverse snow-covered mountain peaks, and crawl throught slimy dungeon depths as you wind your way toword the terrifying climax! LUNAR 2 features almost an hour of detailed animation sequences and over 90 minutes of dialogue packed onto three CDs... so what are you waiting for? Go ahead, you deserve to be the hero for once!",86
Medal of Honor Underground,2000-10-23,T,"Germans invaded your country. Your leaders surrendered, and some are now collaborating with the enemy. Join the resistance and battle the Reich from Paris to North Africa.",86
Need for Speed: High Stakes,1999-03-01,E,"It plays very much like Need for Speed III, but with some extra play modes and one big added feature.",86
Dino Crisis 2,2000-09-29,M,"In the first Dino Crisis, Regina fought for survival against raging prehistoric dinosaurs and helped capture rogue scientist Dr. Kirk, but the threat is far from over. Despite these past events, research continued on Third Energy, which led to the disappearance of a military base, a research institute, and an entire town. Armed with the latest in heavy artillery, Regina and her team get to the root of this latest catastrophe. With more dinosaurs, environments, and weapons, you must be ready to hunt or be hunted.",86
Oddworld: Abe's Oddysee,1997-09-18,T,"Selected by the fickle finger of fate, Abe&trade;, floor-waxer first class for RuptureFarms, was catapulted into a life of adventure when he overheard plans by his boss, Molluck the Glukkon&trade;, to turn Abe and his fellow Mudokons into Tasty Treats as part of a last-ditch effort to rescue Molluck's failing meat-packing empire.
During his escape from RuptureFarms, Abe received a vision from the mysterious Big Face, showing Abe that he must not only rescue his fellow Mudokons, but also protect all of Oddworld's creatures from the predatory Magog Cartel.
After completing arduous Temple trials, and journeying across a wasteland with his friend Elum, Abe was granted the awesome power of the Shrykull. Returning to RuptureFarms, Abe destroyed the foul slaughterhouse, rescued his buddies, and brought down some righteous lightning on top of Molluck's pointy head.",85
Rollcage Stage II,2000-10-10,E,"An adrenaline-packed driving phenomenon delivering the ultimate in arcade racing. Combining the heart-pounding elements of extreme racing with a stack of souped-up features, such as insane Rubble Soccer, this game forces racers to use every trick in the book to win.  [Take 2 Interactive]",85
Tomb Raider II,1997-11-21,T,"The unstoppable Lara Croft is back in TRII, complete with the classic gameplay that made Tomb Raider the game of the year!
Join Lara in her quest for the Dagger of Xian, reputed to possess the power of the dragon. But beware, Lara is not the only one in search of danger! Warrior Monks and crazed cult members plot against you as you travel from the remote mountain peaks of Tibet, the canals of Venice and even to the bottom of the sea.",85
Metal Slug X,2001-04-14,T,"Brace yourself for non-stop battle action in the hit straight from the arcades! In Metal Slug X, you'll chose from four tough-as-nails soldiers ready for missions that only the best could survive. Rescue hostages while blowing terrorists back to the stone-age using your personal weaponry AND their own machine!",85
FIFA 2001 Major League Soccer,2000-11-14,E,"FIFA 2001's environment is alive -- this is not just a simulation: sidelines bustle with activity from spectators, coaches, and teammates as the weather and lighting change.  [EA Sports]",85
Xenogears,1998-10-20,T,"A mysterious organization is turning the tides of a century-long war with ancient technology - giant combat robots known as Gears. A failed attempt to steal one of these powerful weapons places it in the unwilling hands of young Fei and his dubious allies. Now he is pursued by military governments, royal pirates, spies, the emperor, and his own forgotten past.",84
Knockout Kings 2001,2000-10-30,T,"Knockout Kings 2001 is easily the best iteration of the series thus far, thanks to improved AI, cleaner graphics, and tighter controls.",84
Fear Effect 2: Retro Helix,2001-02-21,M,"Fear Effect 2: Retro Helix is the prequel to the critically acclaimed hit Fear Effect on the PlayStation game console. In this chapter, we delve into the colorful histories of the original cast of three mercenaries as well as the extraordinary circumstances that brought them together.
- Hana Tsu-Vachel, our beautiful assassin, trained to deal in love as well as death, desired by many yet belonging to none.
- Royce Glas, a master operative in the field of counter intelligence whose daily existence is haunted by his dark past.
- Jakob 'Deke' Decourt, a cold-blooded killer driven by money and murder.
- Introducing Rain Qin, close companion to Hana with unparalleled beauty wrapped around a dark secret core.

Their adventure will take us to the chaotic alternate reality of Hong Kong, Hells Kitchen in New York City, the formidable Walled City of Xi'an, the lost tomb of the First Emperor of China and finally into the legendary mountain-island of the immortals; Penglai Shan. As they reach their final destination and come face to face with Rain's evil twin sister Mist, in this faithful moment in time, you will get to decide who is to live and who is to die.",84
Dead or Alive,1998-03-31,T,"The fighting game  you've been waiting for...Purist fighting for purist fighting fans. No lightening bolts, no magic tricks, no weapons...Your survival is all in your own hands.",84
Dance Dance Revolution Konamix,2002-04-25,E,"The hottest dancing craze continues with a brand new sequel to Dance Dance Revolution. Straight from the arcades, step into the spotlight and put your skills to the test as you move to the groove. Get ready to dance the night away with all-new songs and game modes. Let the pulsating music and colorful graphics excite your senses while you get your dancin' fix with Dance Dance Revolution KONAMIX.",84
Super Puzzle Fighter II Turbo,1996-11-30,K,"Burst right into the feverish puzzle action that combines irresistible, addictive fun with famous Capcom characters. Beat your opponent to the punch by stacking block after block in strategic patterns and color combinations. Be the first to fill the opponent's screen with blocks and K.O. you win! But get ready for more, because you can't play just once.",83
Bushido Blade,1997-09-30,T,"&quot;Bushido&quot; is the soul of Japan - an ancient honor code deeply followed by samurai warriors for centuries.
Plunge into real world battles across vast 3D environments that you can run, slice and tear through.
Sword matches become unbelievably real where one critical blow is the mean difference between death and victory.",83
Persona 2: Eternal Punishment,2000-12-22,T,"Welcome back to the twisted world of Persona, where nightmares become reality and reality becomes a nightmare... Over 50 hours of dark twisted gameplay, plus stunning anime cinematics that absorb you into the intriguing world of Persona! Enlist the help of the nightmarish denizens of Persona through the use of the unique &quot;Contact System!&quot; Unleash total devastation by combining over 80 Persona to defeat the minions of evil. Change the fate of your characters by employing the revolutionary &quot;Rumor System.&quot;",83
Final Fantasy Tactics,1998-01-28,T,"[Metacritic's 2007 PSP Game of the Year]  Originally released in 1997, Final Fantasy Tactics: The War of the Lions is a portable update on the classic turn-based strategy game that gave birth to the world of Ivalice. In development exclusively for the PSP system, FINAL FANTASY TACTICS: The Lion War features PSP system exclusive content not found on the original classic including all-new CG sequences, all-new jobs, new 16:9 widescreen presentation, new head-to-head multiplayer and new storyline elements that refine the genesis of the IVALICE ALLIANCE. [Square Enix]",83
Ace Combat 2,1997-07-31,T,"We've devised a weapon that's deadlier than a smart bomb. It's called a smart pilot. Now, Ace Combat 2 pits you against a whole squadron of them - 3-D polygonal jet jocks that maneuver like the real deal, turning every scorching sortie and dogfight into a kill-or-be-killed situation. With nearly double the missions of its predecessor, you'll double your chances of taking out the enemy. (Or taking a heat-seeker up the exhaust.)",83
Breath of Fire IV,2000-11-28,T,"After centuries of war, the two lands bordering an impenetrable swampland have finally reached an armistice. Mysteriously, the noble Princess Elena disappears somewhere near the war-ravaged front lines. Distraught, her sister Nina goes in search of the Princess alone and on her journey, meets a mysterious young warrior named Ryu. Their destinies soon entwine. The next chapter in the epic tale of magic and mystery now unfolds. The fate of what lies ahead rests in your control.",83
Dave Mirra Freestyle BMX,2000-09-14,E,The only major flaw in Dave Mirra Freestyle BMX is that the game is a touch on the easy side.,82
Suikoden II,1999-09-29,T,"Sequel to the early PlayStation RPG. As a member of the Alliance, a military force only really hinted at in the original, you play the unwitting hero of the game: an orphan who has been raised by a quiet, unassuming battle hero in a seemingly ancient war. Alongside you in the ranks is your best friend Jowy, a boy born of nobility but who has never been able to receive approval in his stubborn father's eyes. As the game begins, you are immediately tossed into a tale of political strife, betrayal and war on a grand scale beyond your scope in the early stages. As the game wears on, the plot will twist, turn and develop in numerous ways that expose the personalities of each of the characters involved. The battle system is turn-based, with the option to equip Runes for special abilities, combine party member attacks to create chain combos or devastating spells, and the option to run the battle in Auto mode.",82
Brave Fencer Musashi,1998-11-12,E,"Brave Fencer Musashi has been summoned to stop an ancient evil force, to save the kingdom and rescue the princess.
Embark on a wild, comical, Action/RPG adventure in a massive 3-D world filled with platform-style action, two-fisted sword fighting, challenging puzzles, and scores of enemies whose skills Musashi can learn and use to his advantage. Locate five powerful magical scrolls to conquer the twisted Thirstquencher Empire.",81
FIFA 2002,2001-11-01,E,"The PlayStation version of FIFA 2002 doesn't quite have all the features available on the PlayStation 2, but it makes a solid case for an investment on its own.",81
Parasite Eve,1998-09-09,M,"One of them is a police officer. The other is possessed by an ancient evil threatening all life on Earth. The horrifying bond between them will continue until something dies. A chilling adventure that could only come from the creators of Final Fantasy VII. An epic sci-fi tale told through stunning 3D rendered sequences. Battle mutant monsters in real-time polygon combat. Customize weapons, armor, and character abilities.",81
Valkyrie Profile,2000-08-29,T,"Asgard, the realm of the gods, remains locked in an eternal struggle between the benevolent Aesir and the demonic Vanir. With the end of the world approaching, Odin, Lord of Asgard, summons Lenneth Valkyrie to his side. Possessing the ability to hear the thoughts and feelings of men and women in their dying moments, he charges Valkyrie to search Midgard, the world of mortals, to recruit and train the souls of worthy warriors to join the ranks of the Aesir in the Sacred War. Valkyrie Profile: Lenneth brings the classic PlayStation® game console title, originally released in 2000, to the PSP system with completely new CG cut scenes. tri-Ace, the developers behind the acclaimed Star Ocean series and ""Radiata Stories"", introduce new fans to the spectacular combo attacks, unique side-scrolling environment, and gripping storyline that first captivated players six years ago. To give players a deeper understanding of the plot and to complement the game’s dramatic storyline, additional CG cutscenes have been incorporated. Some of these new scenes contain links to the story of ""Valkyrie Profile 2: Silmeria."" [Square Enix]",81
Star Ocean: The Second Story,1999-05-31,E,"In an endless sea of stars, at the edge of the universe, a single fateful encounter is about to take place. The Gods have hurled a deadly meteorite into an unsuspecting planet, unleashing powerful mysterious and sudden chaos. Now, two people from different worlds will collide into a journey so deep, they might never make it back.",80
Final Fantasy Anthology,1999-09-30,T,"Final Fantasy Anthology combines two titles from the Final Fantasy series and offers PlayStation owners a glimpse into the past.  Huge worlds, in-depth storylines, and innovative battle and magic systems, and an incredible cast of characters all make for a deep gaming experience.  The inclusion of Final Fantasy V marks the first time this title has appeared on a console in North America.  Final Fantasy VI, originally released as Final Fantasy III on the SNES system in the U.S., makes its first appearance on the PlayStation.  Both games in this compilation feature never-before-seen CG movies, adding to the appeal of these classics.",80
Jarrett & Labonte Stock Car Racing,2000-10-03,E,Jarrett and Labonte Stock Car Racing is a solid racing game that's great fun for anyone who really enjoys spending a great deal of time learning all the ins and outs of a totally in-depth racing game.,80
Mat Hoffman's Pro BMX,2001-05-14,E,"Tony Hawk on a bike? Using an enhanced ""Tony Hawk's Pro Skater"" engine, Activision and Mat Hoffman give Dave Mirra a ride for his money for the best BMX title on the market.",80
Incredible Crisis,2000-11-06,T,"The severe fun of Incredible Crisis is all about maintaining your sanity, as you help Taneo's family get home in time for Grandma's Birthday.
It's a happy day and the worst day of their life, as they endure hundreds of hilarious and cardiac-arrest inducing dilemmas.
You'll laugh, cry, freak-out and perhaps soil your shorts, while your mental and physical reflexes are put the test.
The controls are simple, but thumb and forefinger injury is still a risk.
Be warned, this game is severely fun and may cause obsessive compulsive behavior, if not nervous disorders and/or involuntary twitches.",80
Parasite Eve II,2000-01-12,M,"Aya Brea is back. The Neo Mitochondrion Creature infestation has resurfaced and taken on a sinister twist. The outcome of this battle will determine earth's dominant species. Horrifying CG cinemas and sharper graphics bring the shocking new storyline to life as Aya hunts for the source of the outbreak. Fully-upgradable weapons, customizable armor, and a new, real-time battle system will aid in the conflict, along with powerful new Parasite Energy abilities.",79
Final Fantasy Origins,2003-04-08,T,"Final Fantasy Origins delivers the first two games in the Final Fantasy series.  Originally released in 1998 in Japan, Final Fantasy II never came to North America, but now RPG fans will be able to experience the emotion-packed sequel and its predecessor with all-new event scenes, enhanced graphics, and improved sound.  Whether you're on a quest to recover a magical Crystal or on a journey to stop a merciless ruler, both games provide grand stories complemented with deep characterization and touching music.",79
