title,release_date,rating,description,metascore
Rogue Legacy 2,2023-06-20,E10,"Rogue Legacy is back! But now it's got a 2 on the end of it!

Rogue Legacy 2 is a genealogical rogue-LITE. That means it has all the trappings of a typical rogue-like (randomized runs, changing characters, and more), but with persistent upgrades, and persistent dead heirs.

In this game, your legacy defines you. Spend your parents' inheritance and grow the family manor to give your children a better fighting chance. Each child is unique, with their own traits and abilities. Your daughter could be a Ranger. She could also be vegan. It's a new experience every time.

Rogue Legacy 2 also lets you play how you want to. Go hard and fast, and dive deeper into the depths of a randomly-generated world. Or take it slow and steady and build your character up until you're ready for greater challenges.",90
Marvel's Spider-Man 2,2023-10-20,T,"Spider-Men, Peter Parker and Miles Morales, return for an exciting new adventure in Marvel’s Spider-Man franchise for PS5. Swing, jump and utilize the new Web Wings to travel across Marvel’s New York, quickly switching between Peter Parker and Miles Morales to experience different stories and epic new powers, as the iconic villain Venom threatens to destroy their lives, their city and the ones they love. The incredible power of the symbiote forces Peter and Miles to face the ultimate test of strength, both inside and outside the mask, as they balance their lives, friendships and their duty to protect those in need. Quickly swap between both Spider-Men as you explore an expanded Marvel’s New York. Fight against a variety of new and iconic villains, including an original take on the monstrous Venom, the ruthless Kraven the Hunter, the volatile Lizard and many more. Explore a larger Marvel’s New York than ever before, featuring two new boroughs – Brooklyn and Queens – as well as locations like Coney Island and more.",90
The Last of Us Part II Remastered,2024-01-19,Rating not found,"Play the winner of over 300 Game of the Year awards, now remastered for the PlayStation5 console. 

Experience for the first time or relive Ellie and Abby's story with graphical enhancements, new gameplay modes like the roguelike survival experience No Return, full DualSense wireless controller integration, and more.",90
Moss: Book II,2023-02-22,E10,"As the next game in the franchise, Book II builds on the story you started with Quill in the original Moss. In this continuation of the journey, the stakes are higher than ever as Quill works to save the world of Moss and end the merciless rule of the Arcane. New allies, old friends, and the very world around you will offer help along the way, but in the end, it is you alone who can lift Quill up to save this world, and together, rise to legend. [Polyarc]",90
Cocoon,2023-09-29,E,"From Jeppe Carlsen, the lead gameplay designer of LIMBO and INSIDE - COCOON takes you on an adventure across worlds within worlds. Master world-leaping mechanics to unravel a cosmic mystery.

COCOON is a unique take on the puzzle adventure genre, where each world exists within an orb that you can carry on your back. Wrap your head around the core mechanic of leaping between worlds - and combine, manipulate, and rearrange them to solve intricate puzzles

Interact with alien environments and biomechanical devices left behind by an ancient civilization. Journey through unique and diverse biomes, from industrial structures to massive organic caverns, and discover how they are connected to one another.",90
Tekken 8,2024-01-26,T,"TEKKEN 8 continues the tragic saga of the Mishima bloodline and its world-shaking father-and-son grudge matches. This latest saga begins with Jin Kazama facing off against Kazuya Mishima in a city-shattering face-to-face showdown. After defeating his father, Heihachi Mishima, Kazuya continues his conquest for global domination, using the forces of G Corporation to wage war on the world. Jin is forced to face his fate head on as he is reunited with his long lost mother, and seeks to stop his father Kazuya's reign of terror. Absent for over 25 years, Jun Kazama re-joins TEKKEN 8 as a playable character. [Bandai Namco]",90
The Talos Principle 2,2023-11-02,E10,"The Talos Principle 2 is a thought-provoking first-person puzzle experience that greatly expands on the first game's philosophical themes and stunning environments with increasingly mind-bending challenges.

Born into a new world where biological humanity is extinct but human culture lives on in a city of robots, you find yourself swept up in a mind-bending adventure involving a mysterious megastructure hiding enormous powers.

The more you discover, the more you will be confronted with questions about the nature of the cosmos and the purpose of civilization. The broken promise of a better tomorrow, the fear of repeating humankind's mistakes, faith in reason or renouncing humanity altogether - the choices you make and the sides you take will determine the course of events.",90
Tony Hawk's Pro Skater 1 + 2,2021-03-26,T,"Drop back in with the most iconic skateboarding games ever made. Play Tony Hawk's Pro Skater & Tony Hawk's Pro Skater 2 in one epic collection, rebuilt from the ground up in incredible HD. All the pro skaters, levels and tricks are back and fully-remastered, plus more.
Skate in super crisp 120 FPS at 1080P or 60 FPS in native 4K. Watch the levels come to life using sharper dynamic shadows, reflections, and lens flare, plus enhanced skater textures. The PS5 enhancements don’t stop at audio and visual upgrades, either. Major features include:

    120 FPS @1080p
    Native 4k @60FPS
    SSD & Immediacy
    Haptic feedback via the DualSense wireless controller
    Spatialized Audio
    High Fidelity Atmospherics
    Activities and Game Help
    Cross-Gen Progression",90
Final Fantasy XIV: Endwalker,2021-12-07,T,"Endwalker is the fourth expansion pack for FINAL FANTASY XIV Online. Experience the climax of the Hydaelyn and Zodiark story, and encounter an even greater calamity than ever before as you travel to the far reaches of Hydaelyn and even to the moon.",90
Like a Dragon: Infinite Wealth,2024-01-26,M,"EPIC EMOTIONAL DRAMA
Two larger-than-life heroes brought together by the hand of fate, or perhaps something more sinister…
Ichiban Kasuga, an unstoppable underdog who’s no stranger to crawling up from rock bottom, and Kazuma Kiryu, a broken man facing down his last days.
BEST-IN-CLASS RPG ACTION
Experience one-of-a-kind combat with dynamic, fast-paced RPG battles where the battlefield becomes your weapon, and anything goes.
Adapt your party’s skills to the situation with outlandish jobs and customizations to strategically subdue enemies with over-the-top moves.
INFINITE ADVENTURE
Live it up in Japan and explore all that Hawaii has to offer in an adventure so big it spans the Pacific.
Unforgettable moments await at every step of the journey with a unique mix of quests and activities to enjoy at your leisure.",89
Dead Space,2023-01-27,M,"Developed exclusively for next generation consoles and PC, raising the level of horror and immersion to unprecedented heights for the franchise through stunning visuals, audio and controls powered by the Frostbite game engine. Fans will experience an improved story, characters, gameplay mechanics and more as they fight to survive a living nightmare aboard the desolate mining starship, the USG Ishimura, all while uncovering the dreadful mystery of what happened to the slaughtered crew and ship. 

In Dead Space, Isaac Clarke is an everyman engineer on a mission to repair a vast, sprawling starship, the USG Ishimura, only to discover something has gone horribly wrong. The ship's crew has been slaughtered and infected by some alien scourge...and Isaac's beloved partner, Nicole, is lost somewhere on board. Now Isaac is alone with only his tools and engineering skills as he attempts to uncover the nightmarish mystery of what happened aboard the Ishimura. Trapped with hostile creatures called ""necromorphs"", Isaac faces a battle for survival, not only against the escalating terrors of the ship, but his own crumbling sanity.",89
Final Fantasy VII Remake Intergrade,2021-06-10,T,"FINAL FANTASY VII REMAKE expands upon and reimagines the spectacular world of the original PlayStation game. It covers up through the escape from Midgar and is the first game in the FINAL FANTASY VII REMAKE project. INTERGRADE is a bundle that includes both REMAKE and the new episode featuring Yuffie. In her episode, play as the spirited ninja after she arrives in Midgar. There, she and another Wutaian operative are to rendezvous with Avalanche HQ, infiltrate the Shinra Building, and steal the conglomerate's most powerful materia. FINAL FANTASY VII REMAKE INTERGRADE takes advantage of the latest generation hardware and includes a wealth of graphical, gameplay and system enhancements for the PS5: 

    Immerse yourself in the city of Midgar like never before, with improved textures, lighting, and background environments. Players can switch between two game modes:
        ""Graphics Mode"" prioritizes 4K high-resolution graphics
        ""Performance Mode"" prioritizes smooth action at 60 frames per second
    Capture and share your memorable moments from the game with a fully customizable “Photo Mode”
    Enjoy immersive battles by using the DualSense wireless controller, with its haptic feedback integration, and enjoy dynamic bike racing with its adaptive triggers.
    New difficulty settings for ‘Classic Mode’ provide new ways to play
    Jump into the action faster with optimized loading times",89
Red Matter 2,2023-05-18,T,"Red Matter 2 is an adventure that takes place during a dystopian Cold War whose events unfold after Red Matter. It is the story of how people trapped in a reality created by their rulers, rebel against their destiny and fight to do the right thing.

Being subjected to a mental simulation in an enemy base, you are awakened by an infiltrated agent who has been sent to rescue you. Just as you are about to escape you intercept a distress signal belonging to an old friend. Determined to come to his rescue, you embark on the journey of a lifetime to the far reaches of the solar system to find him. 

That adventure will make you question your entire reality, not only because you will once again encounter the Red Matter more unleashed than ever, but also because Volgravia holds more secrets than you could have ever imagined.",89
Alan Wake II,2023-10-27,M,"Shed some light on what has long been obscured by darkness. After 11 long years, the writer's return is a reality and the dangers lurking in the dark are even more sinister than the Taken roaming Bright Falls.  Alan Wake 2 turns up the level of dread as our very first dive into the survival horror genre, so expect a chilling experience with familiar psychological horror elements.  Be careful out there. Monsters wear many faces.",89
The Stanley Parable: Ultra Deluxe,2022-04-27,E10,"The Stanley Parable: Ultra Deluxe is an expanded re-imagining of 2013's The Stanley Parable. You will play as Stanley, and you will not play as Stanley. You will make a choice, and you will become powerless. You are not here to win. The Stanley Parable is a game that plays you.",89
Disco Elysium: The Final Cut,2021-03-30,M,"Disco Elysium is about a detective who wakes up in a rundown coastal district with a banging headache and only a few dregs of memory left. You set out to discover what happened to him inside the unique world we have created. We’ve thrown together disco music, early motor carriages, and post-revolutionary angst for our setting, and brought it all to life with actual oil paintings.",89
Devil May Cry 5: Special Edition,2020-11-12,M,"Devil May Cry is back. The legendary stylish action game is better than ever in the ultimate version of this multi-award winning hit.

New features:

- New playable character - Dante's brother and arch-rival, Vergil
- Legendary Dark Knight mode - an extremely challenging horde mode featuring huge numbers of enemies
- Turbo mode - make the game even more intense by playing at 1.2x speed
- Ray-tracing support - this next-generation graphics technology brings the already near-photorealistic world of DMC5 to a new level of unparalleled visual splendour
- High Frame-Rate mode - experience super-smooth action

These new features and modes utilise the power of PlayStation®5 to bring you the craziest, sexiest, most stylish Devil May Cry experience ever.",89
The Last of Us Part I,2022-09-02,M,"In a ravaged civilization, where infected and hardened survivors run rampant, Joel, a weary protagonist, is hired to smuggle 14-year-old Ellie out of a military quarantine zone. However, what starts as a small job soon transforms into a brutal cross-country journey. Includes the complete The Last of Us single-player story and celebrated prequel chapter, Left Behind, which explores the events that changed the lives of Ellie and her best friend Riley forever.",89
Monster Hunter Rise: Sunbreak,2023-04-28,T,"Monster Hunter Rise: Sunbreak is an expansion to the original Monster Hunter Rise. Featuring improved gameplay and nimble-feeling additions to combat mechanics, unique new monsters and hunting locales, and a new difficulty level in the form of Master Rank quests.

As the hunter who saved Kamura from calamity, you must now journey to the far-off reaches of Elgado, an outpost near a Kingdom beset by a sinister new nemesis -- the elder dragon Malzeno!",88
Persona 3 Reload,2024-02-02,M,"Your story begins again. Memento Mori. 

Awaken the depths of your heart in Persona 3 Reload, the genre-defining RPG now reborn for modern consoles.",88
Ratchet & Clank: Rift Apart,2021-06-11,E10,"Ratchet & Clank: Rift Apart is an intergalactic adventure from Insomniac Games that showcases what’s possible for games designed around PS5’s  SSD and DualSense wireless controller. Players seamlessly travel through different dimensions in mid-gameplay. The DualSense wireless controller brings combat to life, with haptic feedback and the adaptive triggers adding powerful sensations that increase immersion in combat.",88
Horizon Forbidden West,2022-02-18,T,"Join Aloy as she braves the Forbidden West – a majestic but dangerous frontier that conceals mysterious new threats. Explore distant lands, fight bigger and more awe-inspiring machines, and encounter astonishing new tribes as you return to the far-future, post-apocalyptic world of Horizon. The land is dying. Vicious storms and an unstoppable blight ravage the scattered remnants of humanity, while fearsome new machines prowl their borders. Life on Earth is hurtling towards another extinction, and no one knows why. It's up to Aloy to uncover the secrets behind these threats and restore order and balance to the world. Along the way, she must reunite with old friends, forge alliances with warring new factions and unravel the legacy of the ancient past – all the while trying to stay one step ahead of a seemingly undefeatable new enemy.",88
It Takes Two,2021-03-26,T,"From Hazelight comes It Takes Two an innovative co-op adventure where uniquely varied gameplay and emotional storytelling intertwine in a fantastical journey. Founded to push the creative boundaries of what's possible in games, Hazelight is the award-winning studio behind the critically acclaimed A Way Out and Brothers: A Tale of Two Sons.

Something out of the ordinary
Bring your favorite co-op partner and together step into the shoes of May and Cody. As the couple is going through a divorce, through unknown means their minds are transported into two dolls which their daughter, Rose, made to represent them. Now they must reluctantly find a way to get back into their bodies, a quest which takes them through the most wild, unexpected and fantastical journey imaginable.",88
Deathloop,2021-09-14,M,"If at first you don't succeed Die, Die Again. From the team at Arkane Lyon comes an innovative take on first-person action. ""DEATHLOOP"" transports players to the lawless island of Blackreef in an eternal struggle between two extraordinary assassins. Explore stunning environments and meticulously designed levels in an immersive gameplay experience that lets you approach every situation any way you like. Hunt down targets all over the island in an effort to put an end to the cycle once and for all, and remember, if at first you don't succeed die, die again.",88
God of War: Ragnarok - Valhalla,2023-12-12,Rating not found,"God of War Ragnarök: Valhalla will be an epilogue to the events of God of War Ragnarök that follows Kratos on a deeply personal and reflective journey.

Set after the decisive battle against Odin and Atreus' departure, Kratos has seen a path for himself that he never thought possible before. Brought to the mysterious shores of Valhalla accompanied only by Mimir, Kratos will enter its unknown depths to overcome trials within himself and face echoes of his past.",88
Resident Evil 4: Separate Ways,2023-09-21,Rating not found,"Separate Ways tells the story of Ada Wong and her parallel journey through the events of Resident Evil 4, filling in unanswered questions from the main story. The full story will be revealed as you view both sides of events from both Ada and Leon’s viewpoints.",88
Mortal Kombat 11 Ultimate,2020-11-17,M,"Experience 2 robust and critically acclaimed story campaigns from Mk11 & Mk11: aftermath. Play as the complete 37-character roster including newly added fighters mileena, RaiN & rambo. Thousands of Skins & weapons & Gear for an unprecedented level of Fighter customization. Includes all previous guest fighters such as Terminator Joker spawn & robocop. Every mode included.",88
Ghost of Tsushima: Director's Cut,2021-08-20,M,"Ghost of Tsushima Director's Cut includes: Ghost of Tsushima full game; Iki Island expansion: New story, mini-games, enemy types and more*; Legends online co-op mode; Downloadable content: Digital mini art book, Director's commentary, One Technique Point, Charm of Hachiman's Favor, Hero of Tsushima Skin Set. PS5 Features: Dynamic 4K resolution targeting 60fps (requires compatible 4K TV or display). DualSense™ wireless controller haptic feedback and adaptive trigger resistance. 3D Audio (with analog or USB stereo headphones). Lip sync for Japanese voiceover. Ability to transfer PS4 saved progress to PS5 game.",87
The Nioh Collection,2021-02-05,M,"Celebrate the franchise's 4-year anniversary with remastered editions of both games featuring 4K and up to 120FPS support. 

For everyone that recently purchased the PlayStation 5 console, you will be able to experience the complete Nioh 2 adventure in Nioh 2 Remastered The Complete Edition, along with a remastered version of the first entry in the series: Nioh Remastered The Complete Edition. If you would like all of this content in one convenient place, we have the perfect title for all of your Nioh needs. Get ready to relive the entire series with all DLC included for both titles in The Nioh Collection for PlayStation 5. 

All of the titles available on PlayStation 5 will support 4K resolution for crystal clear visuals, up to 120 FPS gameplay for silky smooth combat, ultra-fast load times and the ability to transfer your data from the PS4 versions to pick up your journey right where you left off.",87
Diablo IV,2023-06-06,M,"MEET YOUR MAKER  - Lilith has returned to Santuary, summoned by a dark ritual after eons in exile. Her return ushers in a new era of misery and darkness. LEGIONS OF CREATION. An old legend has it that Sanctuary was created by the union of an Angel and a Demon, and that their descendants --- humanity --- built villages, then cities and empires, spreading across the land to form the world's cultures and civilization.

A REIGN OF ENMITY
Chaos threatens to consume Sanctuary as evil and impeity continue to spread. Depraved demons and corrupted wildlife roam the land unchecked, as terrified townsfolk huddle in dark corners trying to survive one more day.

CULT OF PERSONALITY
The pious plead for guidance from their faith, but doubts have them feeling that their devotion is misplaced. Lilith's return has spawned a new wave of cultists and worshippers, but regardless of dogma, all prayers remain unanswered.

DAUGHTER OF HATRED
The daughter of Mephisto awakens burning urges in the hearts of those around her, be it demon, human or beast. Profound fears, unchecked rage, repressed impulses, sinful desires --- all are brought forth violently and irresistibly by her mere presence.

UNSTOPPABLE EVIL
As darkness returns to sanctuary, a brave few dare to face this threat. But what fate awaits them in a land forsaken by hope, valor, wisdom, and justice?",87
Guilty Gear -Strive-,2021-06-08,T,"“Guilty Gear -Strive-“ is the latest entry in the Guilty Gear fighting game franchise. Created by Daisuke Ishiwatari and developed by Arc System Works, “Guilty Gear -Strive-“ upholds the series’ reputation for groundbreaking hybrid 2D/3D cell-shaded graphics and intense, rewarding gameplay. There is a fully voiced story mode diving deep into the Guilty Gear universe, new characters joining fan favorites, and robust rollback net code. The cutting-edge 2D/3D hybrid graphics pioneered in the Guilty Gear series have been raised to the next level in “Guilty Gear -Strive-“. The new artistic direction and improve character animations will go beyond anything you’ve seen before in a fighting game!",87
Final Fantasy XVI,2023-06-22,M,"Introducing FINAL FANTASY XVI Coming to PlayStation 5. An all-new title in the legendary FINAL FANTASY series.  FINAL FANTASY XVI is the newest entry in the FINAL FANTASY series, coming to the PlayStation 5 (PS5) system. FINAL FANTASY XVI is an all-new standalone single player action RPG produced by Naoki Yoshida (FINAL FANTASY XIV, DRAGON QUEST X) and directed by Hiroshi Takai (FINAL FANTASY XIV, THE LAST REMNANT).",87
Uncharted: Legacy of Thieves Collection,2022-01-28,T,UNCHARTED: Legacy of Thieves Collection includes UNCHARTED 4: A Thief’s End and UNCHARTED: The Lost Legacy remastered for PS5™. Play as Nathan Drake and Chloe Frazer in their own standalone adventures as they are forced to confront their pasts and forge their own legacies.,87
